Session: 1
Stakes: $0.01/$0.02
Hands played: 34
VPIP: 32.35%
Pots won: 5
Profit/Loss: $-0.51
*********************************
Session: 2
Stakes: $0.01/$0.02
Hands played: 44
VPIP: 43.18%
Pots won: 12
Profit/Loss: $-0.58
*********************************
Session: 3
Stakes: $0.01/$0.02
Hands played: 88
VPIP: 42.05%
Pots won: 25
Profit/Loss: $0.28
*********************************
Session: 4
Stakes: $0.01/$0.02
Hands played: 32
VPIP: 50.00%
Pots won: 5
Profit/Loss: $-0.53
*********************************
Session: 5
Stakes: $0.01/$0.02
Hands played: 113
VPIP: 35.40%
Pots won: 32
Profit/Loss: $0.27
*********************************
Session: 6
Stakes: $0.01/$0.02
Hands played: 91
VPIP: 40.66%
Pots won: 21
Profit/Loss: $0.84
*********************************
Session: 7
Stakes: $0.01/$0.02
Hands played: 37
VPIP: 43.24%
Pots won: 11
Profit/Loss: $-0.25
*********************************
Session: 8
Stakes: $0.01/$0.02
Hands played: 7
VPIP: 57.14%
Pots won: 2
Profit/Loss: $-0.90
*********************************
